visit_id,user_id,visit_start_time,page_view,cart_add,purchase,campaign_name,impression,click,cart_products
02a5d5,1,2020-02-26 16:59:01.67384,4,0,0,Half Off - Treat Your Shellf(ish),0,0,
0826dc,1,2020-02-26 05:58:37.918618,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
0fc437,1,2020-02-04 17:49:51.435285,10,6,1,Half Off - Treat Your Shellf(ish),1,1,"Tuna,Russian Caviar,Black Truffle,Abalone,Crab,Oyster"
30b94d,1,2020-03-15 13:17:36.734022,9,7,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Kingfish,Tuna,Russian Caviar,Abalone,Lobster,Crab"
41355d,1,2020-03-25 00:13:21.629073,6,1,0,Half Off - Treat Your Shellf(ish),0,0,Lobster
ccf365,1,2020-02-04 19:16:17.358191,7,3,1,Half Off - Treat Your Shellf(ish),0,0,"Lobster,Crab,Oyster"
eaffde,1,2020-03-25 20:17:12.484998,10,8,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Tuna,Russian Caviar,Black Truffle,Abalone,Lobster,Crab,Oyster"
f7c798,1,2020-03-15 02:26:22.245361,9,3,1,Half Off - Treat Your Shellf(ish),0,0,"Russian Caviar,Crab,Oyster"
0635fb,2,2020-02-16 06:42:42.73573,9,4,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Kingfish,Abalone,Crab"
1f1198,2,2020-02-01 21:51:55.078775,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
3b5871,2,2020-01-18 10:16:32.158475,9,6,1,25% Off - Living The Lux Life,1,1,"Salmon,Kingfish,Russian Caviar,Black Truffle,Lobster,Oyster"
49d73d,2,2020-02-16 06:26:40.319618,11,9,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Kingfish,Tuna,Russian Caviar,Black Truffle,Abalone,Lobster,Crab,Oyster"
910d9a,2,2020-02-01 10:44:26.868763,8,1,0,Half Off - Treat Your Shellf(ish),0,0,Abalone
c5c0ee,2,2020-01-18 10:35:22.765382,1,0,0,25% Off - Living The Lux Life,0,0,
d58cbd,2,2020-01-18 23:44:14.026393,8,4,0,25% Off - Living The Lux Life,0,0,"Kingfish,Tuna,Abalone,Crab"
e26a84,2,2020-01-18 16:08:55.309487,6,2,1,25% Off - Living The Lux Life,0,0,"Salmon,Oyster"
25502e,3,2020-02-21 11:26:15.353389,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
76ee84,3,2020-05-28 20:15:21.438782,7,3,1,,0,0,"Salmon,Lobster,Crab"
791afc,3,2020-04-29 00:41:21.758799,8,2,1,,0,0,"Salmon,Oyster"
7e89a0,3,2020-05-28 11:05:01.183045,9,6,0,,1,1,"Salmon,Tuna,Russian Caviar,Black Truffle,Lobster,Crab"
80e2fe,3,2020-04-08 04:14:09.941098,10,5,1,,0,0,"Salmon,Tuna,Russian Caviar,Abalone,Oyster"
8902ad,3,2020-04-29 23:00:38.644517,10,6,0,,1,1,"Russian Caviar,Black Truffle,Abalone,Lobster,Crab,Oyster"
9a2f24,3,2020-02-21 03:20:13.869733,6,2,1,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Black Truffle"
bf200a,3,2020-03-11 04:11:06.17492,7,2,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Crab"
dda9ae,3,2020-04-08 18:24:44.8597,10,8,1,,1,1,"Salmon,Tuna,Russian Caviar,Black Truffle,Abalone,Lobster,Crab,Oyster"
eb13cd,3,2020-03-11 21:36:37.222763,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
07a950,4,2020-03-19 17:57:14.238353,6,0,0,Half Off - Treat Your Shellf(ish),0,0,
4c0ce3,4,2020-02-22 19:42:45.498271,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
7caba5,4,2020-02-22 17:51:53.119277,5,2,0,Half Off - Treat Your Shellf(ish),0,0,"Tuna,Lobster"
b90e25,4,2020-03-19 11:07:21.8492,9,4,1,Half Off - Treat Your Shellf(ish),1,1,"Tuna,Black Truffle,Lobster,Crab"
05c52a,5,2020-02-11 12:30:55.261108,9,8,0,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Kingfish,Tuna,Russian Caviar,Black Truffle,Abalone,Lobster,Crab"
4bffe1,5,2020-02-26 16:04:51.049282,8,1,0,Half Off - Treat Your Shellf(ish),0,0,Russian Caviar
580bf6,5,2020-02-11 04:07:38.24288,8,6,0,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Tuna,Russian Caviar,Black Truffle,Abalone,Lobster"
b45feb,5,2020-02-01 07:47:45.025247,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
f61ed7,5,2020-02-01 06:34:48.74886,8,2,1,Half Off - Treat Your Shellf(ish),0,0,"Lobster,Crab"
fa70cb,5,2020-02-26 11:12:20.361638,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
12c0d3,6,2020-02-21 05:13:03.783946,10,8,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Tuna,Russian Caviar,Black Truffle,Abalone,Lobster,Crab,Oyster"
484e93,6,2020-01-25 14:30:16.768042,1,0,0,25% Off - Living The Lux Life,0,0,
9b418e,6,2020-02-21 12:34:44.123159,9,3,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Russian Caviar,Abalone"
e0ce49,6,2020-01-25 22:44:36.389008,9,3,1,25% Off - Living The Lux Life,0,0,"Tuna,Lobster,Oyster"
0c27fe,7,2020-04-10 19:20:53.788007,9,6,1,,1,1,"Salmon,Kingfish,Tuna,Abalone,Lobster,Crab"
1241e8,7,2020-02-09 06:33:04.76397,4,1,1,Half Off - Treat Your Shellf(ish),1,0,Lobster
503ac3,7,2020-03-18 01:08:52.841438,7,4,0,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Tuna,Russian Caviar,Lobster"
69630f,7,2020-04-13 03:19:27.352647,1,0,0,,0,0,
7ae259,7,2020-02-25 15:06:03.676624,10,3,1,Half Off - Treat Your Shellf(ish),0,0,"Kingfish,Abalone,Crab"
8479c1,7,2020-02-09 17:31:44.111949,5,1,1,Half Off - Treat Your Shellf(ish),0,0,Oyster
8dd946,7,2020-02-25 05:51:07.885298,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
8e9085,7,2020-03-18 08:41:39.820872,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
9bfcd5,7,2020-04-13 16:16:18.930374,9,2,1,,0,0,"Kingfish,Abalone"
e028ca,7,2020-04-10 21:34:31.502919,7,3,1,,0,0,"Kingfish,Abalone,Crab"
0f154b,8,2020-03-24 08:49:39.785342,9,4,0,Half Off - Treat Your Shellf(ish),0,0,"Tuna,Russian Caviar,Abalone,Oyster"
15a166,8,2020-03-24 17:06:25.432053,10,7,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Tuna,Russian Caviar,Black Truffle,Lobster,Crab,Oyster"
25926c,8,2020-03-05 21:01:12.13191,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
9e43f3,8,2020-04-11 01:18:52.062551,1,0,0,,0,0,
a6c424,8,2020-02-12 11:29:18.892281,7,2,0,Half Off - Treat Your Shellf(ish),0,0,"Tuna,Oyster"
aa4286,8,2020-03-05 17:15:20.291238,4,2,1,Half Off - Treat Your Shellf(ish),0,0,"Tuna,Crab"
e0ce31,8,2020-04-11 23:58:31.981041,7,4,1,,0,0,"Kingfish,Black Truffle,Abalone,Lobster"
f3637a,8,2020-02-12 09:28:54.03073,6,1,1,Half Off - Treat Your Shellf(ish),1,0,Crab
046f60,9,2020-02-07 16:29:46.537933,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
24f9d6,9,2020-03-01 23:35:47.380015,5,1,0,Half Off - Treat Your Shellf(ish),0,0,Kingfish
2a7f8c,9,2020-03-15 19:24:49.539813,7,1,0,Half Off - Treat Your Shellf(ish),0,0,Kingfish
31e056,9,2020-03-26 23:32:20.711621,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
3ab272,9,2020-02-26 23:10:25.339992,6,1,0,Half Off - Treat Your Shellf(ish),0,0,Tuna
484ece,9,2020-03-26 12:53:09.089836,9,4,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Black Truffle,Lobster,Crab"
54eda3,9,2020-03-15 06:18:59.600763,1,0,0,Half Off - Treat Your Shellf(ish),0,0,
5ef346,9,2020-02-07 17:34:35.345732,7,0,0,Half Off - Treat Your Shellf(ish),0,0,
6fc659,9,2020-03-01 21:31:17.888444,10,5,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Tuna,Black Truffle,Lobster,Oyster"
7839e9,9,2020-02-26 21:14:49.150978,6,2,0,Half Off - Treat Your Shellf(ish),1,0,"Abalone,Crab"
32949a,10,2020-02-21 21:08:32.904823,10,8,1,Half Off - Treat Your Shellf(ish),1,1,"Salmon,Kingfish,Tuna,Russian Caviar,Black Truffle,Abalone,Lobster,Crab"
330557,10,2020-02-21 23:44:15.117966,5,1,1,Half Off - Treat Your Shellf(ish),0,0,Salmon
69a7a2,10,2020-01-27 00:28:34.482077,9,6,1,25% Off - Living The Lux Life,1,1,"Salmon,Kingfish,Tuna,Abalone,Lobster,Oyster"
8a0a22,10,2020-01-24 10:44:30.720579,7,4,1,25% Off - Living The Lux Life,1,1,"Tuna,Abalone,Lobster,Oyster"
8baa69,10,2020-01-24 20:17:07.546596,8,3,1,25% Off - Living The Lux Life,0,0,"Kingfish,Tuna,Lobster"
d39d35,10,2020-01-23 21:48:56.594073,7,3,1,25% Off - Living The Lux Life,0,0,"Kingfish,Russian Caviar,Lobster"
f904fb,10,2020-01-27 11:43:25.423316,9,2,1,25% Off - Living The Lux Life,0,0,"Salmon,Tuna"
fe2f8f,10,2020-01-23 14:03:30.523581,1,0,0,25% Off - Living The Lux Life,0,0,
0d09fa,11,2020-02-23 13:05:34.944069,8,3,1,Half Off - Treat Your Shellf(ish),0,0,"Salmon,Black Truffle,Oyster"
